Name,bet_date,Opponent,stat_name,stat_line,est_prob,opponent_rolling_rating_scaled,hit_rate,stat_average,stat_min_l5,stat_max_l5,over,log_pred,correct_log,pts,reb,ast,fg3m
Franz Wagner,2024-01-22T00:00:00Z,CLE,fg3m,1.5,0.2765872944882971,-0.6836136453538421,0.39999999999999997,1.4117647058823528,0,4,1,0,1,17,3,2,2
Franz Wagner,2024-01-22T00:00:00Z,CLE,reb,4.5,0.3822721997359418,-1.2481057848202433,0.8,5.794117647058823,2,9,0,0,1,17,3,2,2
Fred VanVleet,2024-01-15T00:00:00Z,PHI,pts,17.5,0.31953650966971925,1.1608594912288073,0.5,17.2972972972973,5,33,0,0,1,8,1,5,2
Fred VanVleet,2024-01-20T00:00:00Z,UTA,pts,17.5,0.6878765066504647,-0.281929653091033,0.5,17.23076923076923,5,33,1,1,1,18,5,7,2
Fred VanVleet,2024-01-24T00:00:00Z,POR,fg3m,2.5,0.1274516768755303,0.07045341207523267,0.6,3.075,0,8,0,0,1,18,6,7,2
Fred VanVleet,2024-01-24T00:00:00Z,POR,pts,16.5,0.17786337487655357,-0.7741153777797615,0.6,17.25,5,33,1,0,1,18,6,7,2
Fred VanVleet,2024-01-24T00:00:00Z,POR,ast,8.5,0.29720152638295544,1.5069297222970064,0.4,8.525,3,17,0,0,1,18,6,7,2
Fred VanVleet,2024-01-24T00:00:00Z,POR,reb,3.5,0.3300037810096383,-1.2195282036685726,0.5,3.775,0,8,1,0,0,18,6,7,2
Giannis Antetokounmpo,2024-01-22T00:00:00Z,DET,ast,6.5,0.8321322645374873,0.9171341128223547,0.6,5.769230769230768,2,11,1,1,1,31,17,10,1
Giannis Antetokounmpo,2024-01-22T00:00:00Z,DET,reb,11.5,0.6468495041943448,0.29571936510542546,0.5,11.307692307692308,4,18,1,1,1,31,17,10,1
Giannis Antetokounmpo,2024-01-22T00:00:00Z,DET,pts,32.5,0.07994185793837877,-0.01334824272571615,0.4,31.692307692307693,15,64,0,0,1,31,17,10,1
Giannis Antetokounmpo,2024-01-22T00:00:00Z,DET,fg3m,0.5,0.09143599189126651,-0.637512028017204,0.4,0.4102564102564103,0,3,1,0,1,31,17,10,1
Giannis Antetokounmpo,2024-01-24T00:00:00Z,CLE,pts,32.5,0.12934467829464316,-1.740201906018127,0.3,31.675,15,64,1,0,1,35,18,10,1
Giannis Antetokounmpo,2024-01-24T00:00:00Z,CLE,reb,12.5,0.8428444549286161,-1.2424188157033393,0.4,11.45,4,18,1,1,1,35,18,10,1
Giannis Antetokounmpo,2024-01-24T00:00:00Z,CLE,fg3m,0.5,0.1108336590212759,-1.3776658647628655,0.5,0.425,0,3,1,0,1,35,18,10,1
Giannis Antetokounmpo,2024-01-24T00:00:00Z,CLE,ast,6.5,0.9364387355939635,-0.7609694502304952,0.7,5.875,2,11,1,1,1,35,18,10,1
Grayson Allen,2024-01-14T00:00:00Z,POR,ast,2.5,0.41538479610038437,1.3250613110546072,0.9,2.8484848484848486,0,5,0,0,1,20,4,1,4
Grayson Allen,2024-01-19T00:00:00Z,NOP,pts,12.5,0.07920993454667316,0.9401192754843337,0.5,13.857142857142858,0,32,0,0,1,12,4,6,3
Grayson Allen,2024-01-21T00:00:00Z,IND,pts,13.5,0.28968932156980004,0.1273649309877867,0.39999999999999997,13.805555555555555,0,32,0,0,0,13,2,2,3
Grayson Allen,2024-01-21T00:00:00Z,IND,reb,3.5,0.20169471690716892,-1.2904530630238116,0.6,4.222222222222222,1,10,0,0,1,13,2,2,3
Grayson Allen,2024-01-21T00:00:00Z,IND,ast,2.5,0.7897358365454441,-0.13060548817504855,0.8,2.9722222222222223,0,6,0,1,1,13,2,2,3
Grayson Allen,2024-01-22T00:00:00Z,CHI,fg3m,2.5,0.21839533156551558,1.4446654116450697,0.6,2.7837837837837838,0,9,1,0,1,9,4,3,3
Grayson Allen,2024-01-22T00:00:00Z,CHI,pts,13.5,0.3874517227185657,0.8489636137282753,0.4,13.783783783783784,0,32,0,0,1,9,4,3,3
Grayson Allen,2024-01-22T00:00:00Z,CHI,reb,3.5,0.10370300264074656,0.5575820123344573,0.6,4.162162162162162,1,10,1,0,1,9,4,3,3
Grayson Allen,2024-01-24T00:00:00Z,DAL,ast,2.5,0.7999111889868057,-0.4060682655219018,0.7,2.9473684210526314,0,6,1,1,1,15,5,4,3
Grayson Allen,2024-01-24T00:00:00Z,DAL,reb,4.5,0.13437673518090432,0.6409338706976829,0.2,4.157894736842105,1,10,1,0,1,15,5,4,3
Grayson Allen,2024-01-24T00:00:00Z,DAL,pts,11.5,0.09004504678641097,0.4691844934850117,0.6,13.657894736842106,0,32,1,0,0,15,5,4,3
Harrison Barnes,2024-01-25T00:00:00Z,GSW,fg3m,1.5,0.16087735763105074,1.3573732942645387,0.6,1.7380952380952381,0,5,1,0,0,39,4,0,7
Harrison Barnes,2024-01-25T00:00:00Z,GSW,pts,10.5,0.0032407628293076507,1.91460257601508,0.4,11.071428571428571,0,33,1,0,0,39,4,0,7
Harrison Barnes,2024-01-25T00:00:00Z,GSW,ast,0.5,0.014907985615499143,2.167562089640298,0.7,1.2380952380952381,0,6,0,0,1,39,4,0,7
Harrison Barnes,2024-01-25T00:00:00Z,GSW,reb,2.5,0.09021215723783238,0.5989819279337667,0.4,2.8095238095238093,0,8,1,0,1,39,4,0,7
Herbert Jones,2024-01-17T00:00:00Z,CHA,reb,3.5,0.5268906740813034,-1.2730500904582827,0.4,3.7837837837837838,0,10,0,1,0,9,1,1,2
Herbert Jones,2024-01-19T00:00:00Z,PHX,pts,9.5,0.3018707130589041,1.018833472509759,0.6,10.789473684210526,2,23,0,0,1,9,3,2,1
Herbert Jones,2024-01-23T00:00:00Z,UTA,pts,9.5,0.16331152497757095,-0.3569240410023241,0.5,10.743589743589743,2,23,1,0,0,22,5,5,4
