,participant_name,market,description,handicap
1284,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,5.5
1285,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,6.5
1286,Terry Rozier,player_assists_over_under,Terry Rozier - Assists,5.5
1287,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,1.5
1288,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,2.5
1289,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,3.5
1290,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,4.5
1291,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,5.5
1292,,player_assists_over_under,Tyler Herro - Assists,3.5
1293,Tyler Herro,player_assists_over_under,Tyler Herro - Assists,4.5
1294,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,2.5
1295,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,3.5
1296,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,4.5
1297,,player_assists_over_under,Bam Adebayo - Alt Assists,5.5
1298,,player_assists_over_under,Bam Adebayo - Alt Assists,6.5
1299,Bam Adebayo,player_assists_over_under,Bam Adebayo - Assists,3.5
1300,,player_assists_over_under,James Harden - Alt Assists,10.5
1301,,player_assists_over_under,James Harden - Alt Assists,11.5
1302,,player_assists_over_under,James Harden - Alt Assists,12.5
1303,James Harden,player_assists_over_under,James Harden - Alt Assists,6.5
1304,James Harden,player_assists_over_under,James Harden - Alt Assists,7.5
1305,James Harden,player_assists_over_under,James Harden - Alt Assists,8.5
1306,James Harden,player_assists_over_under,James Harden - Alt Assists,9.5
1307,James Harden,player_assists_over_under,James Harden - Assists,8.5
1308,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,3.5
1309,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,4.5
1310,,player_assists_over_under,Jimmy Butler - Alt Assists,5.5
1311,,player_assists_over_under,Jimmy Butler - Alt Assists,6.5
1312,,player_assists_over_under,Jimmy Butler - Alt Assists,7.5
1313,Jimmy Butler,player_assists_over_under,Jimmy Butler - Assists,4.5
1314,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,2.5
1315,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,3.5
1316,,player_assists_over_under,Kawhi Leonard - Alt Assists,4.5
1317,,player_assists_over_under,Kawhi Leonard - Alt Assists,5.5
1318,,player_assists_over_under,Kawhi Leonard - Alt Assists,6.5
1319,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Assists,3.5
1320,Paul George,player_assists_over_under,Paul George - Assists,2.5
1321,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,3.5
1322,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,4.5
1323,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,5.5
1324,,player_assists_over_under,Russell Westbrook - Alt Assists,6.5
1325,,player_assists_over_under,Russell Westbrook - Alt Assists,7.5
1326,,player_assists_over_under,Russell Westbrook - Alt Assists,8.5
1327,Russell Westbrook,player_assists_over_under,Russell Westbrook - Assists,4.5
1328,,player_assists_over_under,Terry Rozier - Alt Assists,3.5
1329,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,4.5
1330,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,5.5
1331,,player_assists_over_under,Terry Rozier - Alt Assists,6.5
1332,,player_assists_over_under,Terry Rozier - Alt Assists,7.5
1333,,player_assists_over_under,Terry Rozier - Alt Assists,8.5
1334,Terry Rozier,player_assists_over_under,Terry Rozier - Assists,5.5
1335,,player_assists_over_under,Tyler Herro - Alt Assists,2.5
1336,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,3.5
1337,Tyler Herro,player_assists_over_under,Tyler Herro - Alt Assists,4.5
1338,,player_assists_over_under,Tyler Herro - Alt Assists,5.5
1339,,player_assists_over_under,Tyler Herro - Alt Assists,6.5
1340,,player_assists_over_under,Tyler Herro - Assists,3.5
1341,Tyler Herro,player_assists_over_under,Tyler Herro - Assists,4.5
1342,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,10.5
1343,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,11.5
1344,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,12.5
1345,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,13.5
1346,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,6.5
1347,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,7.5
1348,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,8.5
1349,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,9.5
1350,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Rebounds,10.5
1351,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,1.5
1352,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,2.5
1353,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,3.5
1354,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,4.5
1355,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,5.5
1356,Caleb Martin,player_rebounds_over_under,Caleb Martin - Rebounds,4.5
1357,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,1.5
1358,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,2.5
1359,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,3.5
1360,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,4.5
