game_date,opponent_team,team
2025-03-17,ORL,SAS
2025-03-17,CHI,UTA
2025-03-17,DEN,GSW
2025-03-17,TOR,PHX
2025-03-17,MEM,SAC
2025-03-18,ATL,CHA
2025-03-18,BKN,BOS
2025-03-18,WAS,POR
2025-03-18,MIL,LAL
2025-03-18,CLE,LAC
2025-03-19,DAL,IND
2025-03-19,HOU,ORL
2025-03-19,DET,MIA
2025-03-19,NOP,MIN
2025-03-19,PHI,OKC
2025-03-19,NYK,SAS
2025-03-19,LAC,UTA
2025-03-19,TOR,GSW
2025-03-19,DEN,LAL
2025-03-19,CHI,PHX
2025-03-19,MEM,POR
2025-03-19,CLE,SAC
2025-03-20,NYK,CHA
2025-03-20,BKN,IND
2025-03-20,MIL,GSW
2025-03-20,CHI,SAC
2025-03-21,ORL,WAS
2025-03-21,HOU,MIA
2025-03-21,NOP,MIN
2025-03-21,CHA,OKC
2025-03-21,PHI,SAS
2025-03-21,DET,DAL
2025-03-21,BOS,UTA
2025-03-21,CLE,PHX
2025-03-21,DEN,POR
2025-03-21,MEM,LAC
2025-03-22,BKN,IND
2025-03-22,GSW,ATL
2025-03-22,WAS,NYK
2025-03-22,MIL,SAC
2025-03-22,CHI,LAL
2025-03-23,NOP,DET
2025-03-23,CLE,UTA
2025-03-23,PHI,ATL
2025-03-23,CHA,MIA
2025-03-23,SAS,TOR
2025-03-23,BOS,POR
2025-03-23,DEN,HOU
2025-03-23,OKC,LAC
2025-03-24,MIN,IND
2025-03-24,LAL,ORL
2025-03-24,TOR,WAS
2025-03-24,DAL,BKN
2025-03-24,PHI,NOP
2025-03-24,CHI,DEN
2025-03-24,MIL,PHX
2025-03-24,BOS,SAC
2025-03-25,ORL,CHA
2025-03-25,SAS,DET
2025-03-25,GSW,MIA
2025-03-25,DAL,NYK
2025-03-25,ATL,HOU
2025-03-25,MEM,UTA
2025-03-25,CLE,POR
2025-03-25,OKC,SAC
2025-03-26,WAS,PHI
2025-03-26,TOR,BKN
2025-03-26,LAL,IND
2025-03-26,LAC,NYK
2025-03-26,MIL,DEN
2025-03-26,BOS,PHX
2025-03-27,SAS,CLE
2025-03-27,DAL,ORL
2025-03-27,IND,WAS
2025-03-27,ATL,MIA
2025-03-27,LAL,CHI
2025-03-27,MEM,OKC
2025-03-27,HOU,UTA
2025-03-27,POR,SAC
2025-03-28,CLE,DET
2025-03-28,LAC,BKN
2025-03-28,CHA,TOR
2025-03-28,NYK,MIL
2025-03-28,PHX,MIN
2025-03-28,GSW,NOP
2025-03-28,UTA,DEN
2025-03-29,SAC,ORL
2025-03-29,BKN,WAS
2025-03-29,MIA,PHI
2025-03-29,DAL,CHI
2025-03-29,LAL,MEM
2025-03-29,IND,OKC
2025-03-29,BOS,SAS
2025-03-30,LAC,CLE
2025-03-30,POR,NYK
2025-03-30,ATL,MIL
2025-03-30,DET,MIN
2025-03-30,CHA,NOP
2025-03-30,GSW,SAS
2025-03-30,TOR,PHI
2025-03-30,HOU,PHX
2025-03-31,UTA,CHA
2025-03-31,SAC,IND
2025-03-31,LAC,ORL
2025-03-31,MIA,WAS
2025-03-31,BOS,MEM
2025-03-31,CHI,OKC
2025-03-31,BKN,DAL
2025-03-31,HOU,LAL
2025-04-01,POR,ATL
2025-04-01,PHI,NYK
2025-04-01,TOR,CHI
2025-04-01,GSW,MEM
2025-04-01,PHX,MIL
2025-04-01,MIN,DEN
2025-04-02,NYK,CLE
2025-04-02,CHA,IND
2025-04-02,SAC,WAS
2025-04-02,MIA,BOS
2025-04-02,UTA,HOU
2025-04-02,DET,OKC
2025-04-02,ATL,DAL
2025-04-02,SAS,DEN
2025-04-02,NOP,LAC
2025-04-03,ORL,WAS
2025-04-03,MIN,BKN
2025-04-03,MEM,MIA
2025-04-03,MIL,PHI
2025-04-03,POR,TOR
2025-04-03,GSW,LAL
2025-04-04,SAC,CHA
2025-04-04,UTA,IND
2025-04-04,PHX,BOS
2025-04-04,DET,TOR
2025-04-04,POR,CHI
2025-04-04,OKC,HOU
2025-04-04,CLE,SAS
2025-04-04,DEN,GSW
2025-04-04,NOP,LAL
2025-04-04,DAL,LAC
2025-04-05,NYK,ATL
2025-04-05,MEM,DET
2025-04-05,MIN,PHI
2025-04-05,MIL,MIA
2025-04-05,DAL,LAC
2025-04-06,CHI,CHA
2025-04-06,TOR,BKN
2025-04-06,LAL,OKC
2025-04-06,UTA,ATL
2025-04-06,WAS,BOS
2025-04-06,SAC,CLE
2025-04-06,SAS,POR
2025-04-06,PHX,NYK
2025-04-06,ORL,NOP
2025-04-06,IND,DEN
2025-04-06,HOU,GSW
2025-04-07,SAC,DET
2025-04-07,PHI,MIA
2025-04-08,MEM,CHA
2025-04-08,CHI,CLE
2025-04-08,WAS,IND
2025-04-08,ATL,ORL
2025-04-08,NOP,BKN
2025-04-08,BOS,NYK
2025-04-08,MIN,MIL
2025-04-08,LAL,OKC
2025-04-08,GSW,PHX
2025-04-08,SAS,LAC
2025-04-09,BOS,ORL
2025-04-09,PHI,WAS
2025-04-09,CHA,TOR
2025-04-09,LAL,DAL
2025-04-09,MIA,CHI
2025-04-09,NOP,MIL
2025-04-09,POR,UTA
2025-04-09,SAS,GSW
2025-04-09,OKC,PHX
2025-04-09,DEN,SAC
2025-04-09,HOU,LAC
2025-04-10,NYK,DET
2025-04-10,CLE,IND
2025-04-10,ATL,BKN
2025-04-10,MIN,MEM
2025-04-11,MIL,DET
2025-04-11,ORL,IND
2025-04-11,ATL,PHI
2025-04-11,CHA,BOS
2025-04-11,CLE,NYK
2025-04-11,WAS,CHI
2025-04-11,MIA,NOP
2025-04-11,TOR,DAL
2025-04-11,BKN,MIN
2025-04-11,MEM,DEN
2025-04-11,OKC,UTA
2025-04-11,SAS,PHX
2025-04-11,GSW,POR
2025-04-11,LAC,SAC
2025-04-11,HOU,LAL
2025-04-13,ORL,ATL
2025-04-13,CHA,BOS
2025-04-13,NYK,BKN
2025-04-13,IND,CLE
2025-04-13,WAS,MIA
2025-04-13,CHI,PHI
2025-04-13,DET,MIL
2025-04-13,DEN,HOU
2025-04-13,DAL,MEM
2025-04-13,UTA,MIN
2025-04-13,OKC,NOP
2025-04-13,TOR,SAS
2025-04-13,LAC,GSW
2025-04-13,LAL,POR
2025-04-13,PHX,SAC
2024-10-04,BOS,DEN
2024-10-04,NZB,UTA
2024-10-04,MIN,LAL
2024-10-05,GSW,LAC
2024-10-06,DEN,BOS
2024-10-06,NYK,CHA
2024-10-06,WAS,TOR
2024-10-06,MIL,DET
2024-10-06,PHX,LAL
2024-10-07,ORL,NOP
2024-10-07,NZB,PHI
2024-10-07,MEM,DAL
2024-10-07,OKC,SAS
2024-10-07,HOU,UTA
2024-10-08,MIA,CHA
2024-10-08,CHI,CLE
2024-10-08,PHX,DET
2024-10-08,IND,ATL
2024-10-08,BKN,LAC
2024-10-09,WAS,NYK
2024-10-09,HOU,OKC
2024-10-09,ORL,SAS
2024-10-09,GSW,SAC
2024-10-10,IND,CLE
2024-10-10,UTA,DAL
2024-10-10,CHA,MEM
2024-10-10,LAL,MIL
2024-10-10,NZB,OKC
2024-10-11,TOR,WAS
2024-10-11,PHI,MIN
2024-10-11,SAC,GSW
2024-10-11,DET,PHX
2024-10-11,POR,LAC
2024-10-12,PHI,BOS
2024-10-12,MEM,CHI
2024-10-12,UTA,SAS
2024-10-13,NOP,MIA
2024-10-13,MIN,NYK
2024-10-13,POR,SAC
2024-10-13,TOR,BOS
2024-10-13,PHX,DEN
2024-10-13,DET,GSW
2024-10-14,MEM,IND
2024-10-14,PHI,ATL
2024-10-14,WAS,BKN
2024-10-14,CHI,MIL
2024-10-14,DAL,LAC
2024-10-15,BOS,TOR
2024-10-15,SAS,MIA
2024-10-15,CHA,NYK
2024-10-15,NOP,HOU
2024-10-15,OKC,DEN
2024-10-15,SAC,UTA
2024-10-15,GSW,LAL
2024-10-16,CLE,DET
2024-10-16,BKN,PHI
2024-10-16,ATL,MIA
2024-10-16,MIN,CHI
2024-10-16,ULM,POR
2024-10-17,CHA,IND
2024-10-17,MIL,DAL
2024-10-17,SAS,HOU
2024-10-17,ATL,OKC
