,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
13,22024,1610612742,DAL,Dallas Mavericks,0022400110,2024-10-28,DAL vs. UTA,W,239,110,43,95,0.453,11,39,0.282,13,17,0.765,13,37,50,27,9,12,13,23,8.0
14,22024,1610612752,NYK,New York Knicks,0022400106,2024-10-28,NYK vs. CLE,L,240,104,40,90,0.444,9,28,0.321,15,18,0.833,13,30,43,22,8,3,16,21,-6.0
15,22024,1610612763,MEM,Memphis Grizzlies,0022400108,2024-10-28,MEM vs. CHI,L,239,123,51,111,0.459,14,43,0.326,7,13,0.538,18,42,60,37,5,9,10,21,-3.0
16,22024,1610612754,IND,Indiana Pacers,0022400102,2024-10-28,IND @ ORL,L,241,115,41,88,0.466,13,29,0.448,20,30,0.667,15,29,44,25,7,4,12,28,-4.0
17,22024,1610612738,BOS,Boston Celtics,0022400104,2024-10-28,BOS vs. MIL,W,242,119,43,87,0.494,18,47,0.383,15,19,0.789,4,34,38,24,5,5,12,18,11.0
18,22024,1610612761,TOR,Toronto Raptors,0022400107,2024-10-28,TOR vs. DEN,L,266,125,49,109,0.45,10,35,0.286,17,21,0.81,18,36,54,30,7,7,15,27,-2.0
19,22024,1610612765,DET,Detroit Pistons,0022400105,2024-10-28,DET @ MIA,L,240,98,35,91,0.385,14,38,0.368,14,17,0.824,19,35,54,14,6,6,16,19,-8.0
20,22024,1610612748,MIA,Miami Heat,0022400105,2024-10-28,MIA vs. DET,W,241,106,38,88,0.432,15,47,0.319,15,20,0.75,10,34,44,24,14,3,9,14,8.0
21,22024,1610612762,UTA,Utah Jazz,0022400110,2024-10-28,UTA @ DAL,L,240,102,34,92,0.37,10,35,0.286,24,29,0.828,15,35,50,24,7,5,13,17,-8.0
22,22024,1610612759,SAS,San Antonio Spurs,0022400109,2024-10-28,SAS vs. HOU,L,241,101,37,87,0.425,10,33,0.303,17,21,0.81,17,32,49,22,6,6,17,21,-5.0
23,22024,1610612753,ORL,Orlando Magic,0022400102,2024-10-28,ORL vs. IND,W,241,119,39,83,0.47,13,41,0.317,28,38,0.737,11,35,46,26,7,6,15,25,4.0
24,22024,1610612743,DEN,Denver Nuggets,0022400107,2024-10-28,DEN @ TOR,W,265,127,47,96,0.49,9,20,0.45,24,30,0.8,15,37,52,29,6,6,16,20,2.0
25,22024,1610612737,ATL,Atlanta Hawks,0022400103,2024-10-28,ATL vs. WAS,L,240,119,39,81,0.481,15,40,0.375,26,36,0.722,6,33,39,32,12,7,16,22,-2.0
26,22024,1610612760,OKC,Oklahoma City Thunder,0022400100,2024-10-27,OKC vs. ATL,W,239,128,44,89,0.494,16,40,0.4,24,32,0.75,11,34,45,26,13,12,10,23,24.0
27,22024,1610612746,LAC,LA Clippers,0022400101,2024-10-27,LAC @ GSW,W,240,112,42,90,0.467,10,32,0.313,18,23,0.783,14,34,48,27,11,2,18,21,8.0
28,22024,1610612755,PHI,Philadelphia 76ers,0022400097,2024-10-27,PHI @ IND,W,265,118,42,98,0.429,11,42,0.262,23,31,0.742,20,34,54,15,9,4,19,26,4.0
29,22024,1610612754,IND,Indiana Pacers,0022400097,2024-10-27,IND vs. PHI,L,263,114,39,84,0.464,13,32,0.406,23,34,0.676,7,30,37,28,8,4,19,26,-4.0
30,22024,1610612757,POR,Portland Trail Blazers,0022400099,2024-10-27,POR vs. NOP,W,241,125,43,93,0.462,14,35,0.4,25,32,0.781,22,29,51,25,9,8,16,21,22.0
31,22024,1610612744,GSW,Golden State Warriors,0022400101,2024-10-27,GSW vs. LAC,L,242,104,38,88,0.432,14,43,0.326,14,22,0.636,14,33,47,19,10,5,21,22,-8.0
32,22024,1610612749,MIL,Milwaukee Bucks,0022400098,2024-10-27,MIL @ BKN,L,238,102,33,74,0.446,10,33,0.303,26,31,0.839,7,36,43,20,7,3,18,17,-13.0
33,22024,1610612737,ATL,Atlanta Hawks,0022400100,2024-10-27,ATL @ OKC,L,240,104,36,91,0.396,10,31,0.323,22,29,0.759,17,32,49,24,7,4,19,23,-24.0
34,22024,1610612740,NOP,New Orleans Pelicans,0022400099,2024-10-27,NOP @ POR,L,241,103,38,88,0.432,8,29,0.276,19,24,0.792,15,24,39,24,9,8,15,22,-22.0
35,22024,1610612751,BKN,Brooklyn Nets,0022400098,2024-10-27,BKN vs. MIL,W,241,115,39,91,0.429,16,45,0.356,21,23,0.913,12,35,47,23,9,3,12,26,13.0
36,22024,1610612741,CHI,Chicago Bulls,0022400091,2024-10-26,CHI vs. OKC,L,238,95,32,92,0.348,15,53,0.283,16,22,0.727,11,50,61,23,6,2,26,19,-19.0
37,22024,1610612748,MIA,Miami Heat,0022400088,2024-10-26,MIA @ CHA,W,242,114,40,86,0.465,14,34,0.412,20,28,0.714,13,30,43,33,8,6,13,19,8.0
38,22024,1610612743,DEN,Denver Nuggets,0022400087,2024-10-26,DEN vs. LAC,L,240,104,35,87,0.402,14,35,0.4,20,24,0.833,10,27,37,20,13,4,10,22,-5.0
39,22024,1610612766,CHA,Charlotte Hornets,0022400088,2024-10-26,CHA vs. MIA,L,241,106,39,89,0.438,13,41,0.317,15,21,0.714,15,31,46,20,6,5,17,24,-8.0
40,22024,1610612746,LAC,LA Clippers,0022400087,2024-10-26,LAC @ DEN,W,242,109,40,82,0.488,12,33,0.364,17,21,0.81,11,33,44,30,4,5,16,24,5.0
41,22024,1610612747,LAL,Los Angeles Lakers,0022400096,2024-10-26,LAL vs. SAC,W,240,131,48,92,0.522,14,34,0.412,21,24,0.875,13,32,45,32,8,3,19,19,4.0
42,22024,1610612763,MEM,Memphis Grizzlies,0022400092,2024-10-26,MEM vs. ORL,W,241,124,46,86,0.535,13,34,0.382,19,24,0.792,6,36,42,38,10,5,18,24,13.0
43,22024,1610612753,ORL,Orlando Magic,0022400092,2024-10-26,ORL @ MEM,L,240,111,37,87,0.425,17,48,0.354,20,28,0.714,12,29,41,21,10,6,19,20,-13.0
44,22024,1610612745,HOU,Houston Rockets,0022400094,2024-10-26,HOU @ SAS,L,240,106,38,92,0.413,13,41,0.317,17,21,0.81,8,26,34,21,10,3,10,24,-3.0
45,22024,1610612739,CLE,Cleveland Cavaliers,0022400090,2024-10-26,CLE @ WAS,W,239,135,47,88,0.534,18,39,0.462,23,34,0.676,11,37,48,27,13,10,16,27,19.0
46,22024,1610612756,PHX,Phoenix Suns,0022400095,2024-10-26,PHX vs. DAL,W,239,114,36,80,0.45,14,39,0.359,28,37,0.757,7,40,47,26,3,4,11,17,12.0
47,22024,1610612738,BOS,Boston Celtics,0022400089,2024-10-26,BOS @ DET,W,239,124,38,90,0.422,22,48,0.458,26,30,0.867,13,24,37,19,10,6,10,16,6.0
48,22024,1610612761,TOR,Toronto Raptors,0022400093,2024-10-26,TOR @ MIN,L,241,101,41,90,0.456,10,29,0.345,9,13,0.692,12,34,46,29,9,4,20,22,-11.0
49,22024,1610612742,DAL,Dallas Mavericks,0022400095,2024-10-26,DAL @ PHX,L,239,102,37,93,0.398,13,41,0.317,15,18,0.833,12,34,46,22,6,2,8,28,-12.0
50,22024,1610612760,OKC,Oklahoma City Thunder,0022400091,2024-10-26,OKC @ CHI,W,240,114,45,107,0.421,8,40,0.2,16,20,0.8,9,45,54,21,15,5,10,18,19.0
51,22024,1610612765,DET,Detroit Pistons,0022400089,2024-10-26,DET vs. BOS,L,240,118,43,88,0.489,14,39,0.359,18,22,0.818,9,35,44,27,4,7,14,22,-6.0
52,22024,1610612764,WAS,Washington Wizards,0022400090,2024-10-26,WAS vs. CLE,L,239,116,37,96,0.385,15,43,0.349,27,32,0.844,18,28,46,25,6,9,15,25,-19.0
53,22024,1610612750,MIN,Minnesota Timberwolves,0022400093,2024-10-26,MIN vs. TOR,W,239,112,39,83,0.47,14,37,0.378,20,26,0.769,9,32,41,29,9,8,13,16,11.0
