player_name,fantasy_team,pro_team,position,injured,injury_status,is_free_agent
Jarrod Uthoff,Free Agent,NOP,PF,False,[],True
London Perrantes,Free Agent,POR,PG,False,[],True
Nikola Milutinov,Free Agent,SAS,C,False,[],True
Quincy Olivari,Free Agent,LAL,PG,False,ACTIVE,True
DeAndre Daniels,Free Agent,FA,SF,False,[],True
Louis Labeyrie,Free Agent,FA,PF,False,[],True
Jordan Nwora,Free Agent,FA,SF,False,ACTIVE,True
Chasson Randle,Free Agent,FA,PG,False,ACTIVE,True
Admiral Schofield,Free Agent,FA,SF,False,ACTIVE,True
Jahmi'us Ramsey,Free Agent,FA,SG,False,ACTIVE,True
Jamaree Bouyea,Free Agent,FA,PG,False,DAY_TO_DAY,True
Tosan Evbuomwan,Free Agent,BKN,SF,False,ACTIVE,True
Willie Reed,Free Agent,CHI,C,False,[],True
Billy Garrett Jr.,Free Agent,NYK,SG,False,[],True
Devin Robinson,Free Agent,TOR,SF,False,[],True
Hollis Thompson,Free Agent,SAC,SF,False,[],True
Michael Gbinije,Free Agent,GSW,SG,False,[],True
Jordan Schakel,Free Agent,WAS,SF,False,[],True
Daniel Ochefu,Free Agent,WAS,PF,False,[],True
Alex Kirk,Free Agent,CLE,C,False,[],True
Phil Pressey,Free Agent,GSW,PG,False,[],True
Freddie Gillespie,Free Agent,ORL,PF,False,[],True
Rokas Jokubaitis,Free Agent,NYK,PG,False,[],True
Romeo Langford,Free Agent,UTA,SG,False,[],True
Daniel Oturu,Free Agent,TOR,C,False,[],True
Joe Chealey,Free Agent,CHA,PG,False,[],True
Jordan Mickey,Free Agent,MIA,PF,False,[],True
Bonzie Colson,Free Agent,MIL,PF,False,[],True
Marcelo Huertas,Free Agent,HOU,PG,False,[],True
Jorge Gutierrez,Free Agent,DEN,PG,False,[],True
Yam Madar,Free Agent,BOS,PG,False,[],True
Nico Mannion,Free Agent,GSW,PG,False,[],True
Jamorko Pickett,Free Agent,DEN,PF,False,[],True
Georgios Kalaitzakis,Free Agent,OKC,PG,False,[],True
Ryan Arcidiacono,Free Agent,FA,PG,False,ACTIVE,True
Larry Drew II,Free Agent,DET,SG,False,[],True
Ryan Broekhoff,Free Agent,PHL,SG,False,[],True
Zach Lofton,Free Agent,DET,SG,False,[],True
Kent Bazemore,Free Agent,SAC,SG,False,[],True
Shayne Whittington,Free Agent,IND,C,False,[],True
Drew Gordon,Free Agent,PHL,PF,False,[],True
Troy Daniels,Free Agent,DEN,SG,False,[],True
Terry Taylor,Free Agent,FA,PF,False,ACTIVE,True
Isaiah Taylor,Free Agent,TOR,PG,False,[],True
Pierre Deshawn Jackson,Free Agent,DAL,PG,False,[],True
Keshad Johnson,Free Agent,MIA,PF,False,ACTIVE,True
Theo Pinson,Free Agent,DAL,SG,False,[],True
Jacob Toppin,Free Agent,NYK,SF,False,ACTIVE,True
D.J. Carton,Free Agent,TOR,PG,True,OUT,True
Kay Felder,Free Agent,TOR,PG,False,[],True
Cliff Alexander,Free Agent,NOP,PF,False,[],True
Joel Berry II,Free Agent,LAL,PG,False,[],True
Ben Bentil,Free Agent,DAL,PF,False,[],True
RaiQuan Gray,Free Agent,FA,PF,False,ACTIVE,True
Onuralp Bitim,Free Agent,FA,SF,False,ACTIVE,True
Lamar Patterson,Free Agent,ATL,SG,False,[],True
Treveon Graham,Free Agent,MIL,SF,False,[],True
Damjan Rudez,Free Agent,ORL,SF,False,[],True
Duane Washington Jr.,Free Agent,FA,PG,False,ACTIVE,True
Amile Jefferson,Free Agent,BOS,PF,False,[],True
Mike Tobey,Free Agent,CHA,C,False,[],True
Isaiah Cousins,Free Agent,UTA,SG,False,[],True
Kyle Collinsworth,Free Agent,UTA,SG,False,[],True
Deng Adel,Free Agent,BKN,SF,False,[],True
Michael Frazier,Free Agent,HOU,SG,False,[],True
Rayjon Tucker,Free Agent,MIL,SF,False,[],True
Jamel Artis,Free Agent,LAC,SG,False,[],True
